Year,Total Private Debt All intstruments,Total Private Debt: Loans and Debt Securities,"Household debt, all instruments","Household debt, loans and debt securities","Non-financial corporations debt, all instruments","Non-financial corporations debt, loans and debt securities",Public sector debt,Nonfinancial public sector debt,General government debt,Central government debt,Nominal gross domestic product
1992,170.91,119.22,63.79,62.21,107.12,57.02,,,71.16,55.8,6520.33
1993,169.38,118.85,64.4,62.78,104.98,56.07,,,72.98,57.39,6858.55
1994,167.37,119.38,65.14,63.54,102.23,55.84,,,71.4,56.7,7287.25
1995,168.34,121.47,66.5,64.84,101.84,56.63,,,70.48,56.35,7639.75
1996,169.56,122.35,67.55,65.85,102.01,56.49,,,69.49,55.72,8073.13
1997,168.25,124.08,67.75,66.04,100.5,58.04,,,67.29,53.1,8577.55
1998,177.29,129.4,69.22,67.53,108.07,61.87,,,64.43,50.07,9062.83
1999,185.15,133.95,71.15,69.48,114,64.47,,,60.75,46.85,9631.18
2000,196.44,136.74,72.48,70.85,123.96,65.9,,,54.64,41.38,10250.95
2001,203.22,141.41,76.28,74.71,126.94,66.7,,,54.53,40.66,10581.93
2002,209.16,145.62,81.14,79.45,128.02,66.17,,,56.94,42.12,10929.1
2003,206.66,149.35,86.99,85.27,119.67,64.08,,,59.82,44.68,11456.45
2004,210.47,153.24,90.98,89.22,119.49,64.02,,,67.29,45.48,12217.18
2005,216.52,157.57,94.51,92.73,122.02,64.84,,,67.13,45.61,13039.2
2006,222.89,164.09,98.71,96.92,124.18,67.17,,,65.91,44.83,13815.6
2007,230.98,170.86,100.59,98.74,130.38,72.12,,,66.25,45.17,14474.25
2008,235.93,170.76,98.15,96.15,137.79,74.61,,,74.97,53.41,14769.85
2009,235.52,169.54,99.24,96.96,136.29,72.59,,,87.8,64.97,14478.05
2010,226.49,160.69,93.76,91.73,132.73,68.96,,,96.12,73.65,15048.98
2011,222.38,156.03,89.85,87.78,132.53,68.26,,,100.2,78.53,15599.73
2012,218.6,152.65,85.57,83.57,133.03,69.09,,,103.85,82.79,16253.95
2013,218.59,151.7,83.69,81.8,134.9,69.91,,,104.86,84.95,16880.68
2014,218.85,150.7,80.98,79.01,137.87,71.69,,,104.7,85.64,17608.13
2015,221.34,150.94,79.23,77.26,142.11,73.68,,,105.16,86.49,18295
2016,226.34,152.65,79.34,77.39,147,75.26,,,107.37,88.83,18804.9
2017,223.54,154.35,78.93,77.04,144.61,77.31,,,106.14,88.38,19612.1
2018,223.93,153.62,77.27,75.43,146.66,78.19,,,107.42,90.42,20656.53
2019,229.96,153.39,77.05,75.11,152.91,78.28,,,108.71,92.39,21539.98
2020,238.75,164.8,80.48,78.46,158.28,86.33,,,132.93,116.88,21354.13
2021,229.76,160.5,79.51,77.75,150.25,82.76,,,125.25,111.9,23681.18
2022,227.77,156.12,76.63,75.47,151.14,80.65,,,119.52,107.54,26006.9
2023,218.25,150.15,73.93,72.93,144.32,77.21,,,121.53,110.5,27720.73
